@RELATION 10200

@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE y {0,1}

@DATA
0.514741,0.367175,1
0.404249,0.859880,0
0.065741,0.245636,0
0.015668,0.845518,0
0.257245,0.548273,0
0.316873,0.060929,0
0.769220,0.762330,1
0.674886,0.451937,1
0.474933,0.977984,0
0.470322,0.488309,0
0.335928,0.187338,0
0.593343,0.082817,1
0.399728,0.360860,0
0.847914,0.097829,1
0.552656,0.878700,1
0.096881,0.185308,0
0.798280,0.801533,1
0.739235,0.878946,1
0.481474,0.154045,0
0.900931,0.311264,1
0.058674,0.863931,0
0.541932,0.663877,1
0.726885,0.250218,1
0.534669,0.475691,1
0.467127,0.986988,0
0.652944,0.231685,1
0.832423,0.282004,1
0.325277,0.234012,0
0.116107,0.604535,0
0.953042,0.617507,1
0.373135,0.672584,0
0.571244,0.513301,1
0.135257,0.566997,0
0.638600,0.787078,1
0.560307,0.778391,1
0.783592,0.482632,1
0.186543,0.712564,0
0.404506,0.086704,0
0.424882,0.681022,0
0.123939,0.997718,0
0.415032,0.685506,0
0.232110,0.128848,0
0.895950,0.368852,1
0.418310,0.404982,0
0.296702,0.349262,0
0.286123,0.023476,0
0.340729,0.781025,0
0.375603,0.740215,0
0.074689,0.391980,0
0.674366,0.115322,1
0.382434,0.436453,0
0.889599,0.606991,1
0.725387,0.972157,1
0.074282,0.637236,0
0.062451,0.620506,0
0.553449,0.269984,1
0.645791,0.502029,1
0.480115,0.939759,0
0.663210,0.352028,1
0.765524,0.748340,1
0.503511,0.916384,1
0.574663,0.207089,1
0.758180,0.603349,1
0.055542,0.944279,0
0.940838,0.024436,1
0.479502,0.819593,0
0.305371,0.495941,0
0.509876,0.092055,1
0.074288,0.792425,0
0.887606,0.773022,1
0.850766,0.444378,1
0.424954,0.062460,0
0.981027,0.654602,1
0.832252,0.814579,1
0.158084,0.471252,0
0.567649,0.308003,1
0.613571,0.200247,1
0.596125,0.206006,1
0.831278,0.165717,1
0.671573,0.483939,1
0.834181,0.834387,1
0.514525,0.273840,1
0.746174,0.008286,1
0.048176,0.030295,0
