@RELATION 1050

@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 REAL
@ATTRIBUTE y {0,1}

@DATA
0.223870,0.120886,0
0.366399,0.074473,0
0.155159,0.564522,0
0.970065,0.510463,1
0.280721,0.905559,0
0.525193,0.288623,1
0.442618,0.905297,0
0.076766,0.694963,0
0.540306,0.740141,1
0.294873,0.089815,0
0.391722,0.718148,0
0.516112,0.185515,1
0.173549,0.537606,0
0.288207,0.396691,0
0.397376,0.681295,0
0.517613,0.128817,1
0.328630,0.810605,0
0.223169,0.219276,0
0.861619,0.700421,1
0.458477,0.000087,0
0.126727,0.338728,0
0.181458,0.612576,0
0.524724,0.304108,1
0.721644,0.271653,1
0.458368,0.429827,0
0.024060,0.150984,0
0.762925,0.064984,1
0.033133,0.440248,0
0.724902,0.951165,1
0.420885,0.911780,0
0.622274,0.847336,1
0.360729,0.026293,0
0.919635,0.556196,1
0.201513,0.206015,0
0.608187,0.931984,1
0.706039,0.408440,1
0.693158,0.782731,1
0.984071,0.545041,1
0.500186,0.319200,1
0.371957,0.606667,0
0.297401,0.948296,0
0.289282,0.580984,0
0.711392,0.760439,1
0.537553,0.377199,1
0.552931,0.018443,1
0.596718,0.009437,1
0.962275,0.319679,1
0.222438,0.232540,0
0.234052,0.873806,0
0.050275,0.672654,0
0.288217,0.515139,0
0.972619,0.249900,1
0.516204,0.651683,1
0.769916,0.351518,1
0.650401,0.342170,1
0.849885,0.781282,1
0.380226,0.087919,0
0.976708,0.984587,1
0.669563,0.728080,1
0.556748,0.428539,1
0.117985,0.034881,0
0.388180,0.302465,0
0.252145,0.219695,0
0.778980,0.896656,1
0.333926,0.581298,0
0.591041,0.115819,1
0.128365,0.954425,0
0.077765,0.588546,0
0.087061,0.449745,0
0.348279,0.745284,0
0.571757,0.215622,1
0.913513,0.054651,1
0.067925,0.597566,0
0.047689,0.331572,0
0.819686,0.123001,1
0.633346,0.660618,1
0.955044,0.197003,1
0.748838,0.014035,1
0.964395,0.258926,1
0.504313,0.086335,1
0.345439,0.420320,0
0.535522,0.215992,1
0.334094,0.281320,0
0.124338,0.519605,0
0.903687,0.705695,1
0.130728,0.525081,0
0.633640,0.823986,1
0.792956,0.657747,1
0.624093,0.429681,1
0.981142,0.906924,1
0.364319,0.235140,0
0.673852,0.880402,1
0.350485,0.161983,0
0.268232,0.240384,0
0.292290,0.954901,0
0.831247,0.206816,1
0.948165,0.928376,1
0.552939,0.412709,1
0.985187,0.582554,1
0.472147,0.900896,0
0.772562,0.157499,1
0.010997,0.462817,0
0.686443,0.934345,1
0.976499,0.837311,1
0.329101,0.237348,0
0.465935,0.511027,0
0.046844,0.642603,0
0.547285,0.991924,1
0.268831,0.857219,0
0.676762,0.463514,1
0.482854,0.096956,0
0.562575,0.669827,1
0.114332,0.560898,0
0.587402,0.729753,1
0.181250,0.778436,0
0.961579,0.334276,1
0.360445,0.186876,0
0.494871,0.441256,0
0.019576,0.287247,0
0.246727,0.149794,0
0.844349,0.121363,1
0.343267,0.909861,0
0.921969,0.614982,1
0.933810,0.602725,1
0.529516,0.539897,1
0.600567,0.313878,1
0.419881,0.462058,0
0.532206,0.812528,1
0.098078,0.063316,0
0.425295,0.850349,0
0.437222,0.651171,0
0.387234,0.397085,0
0.996132,0.503876,1
0.080066,0.841718,0
0.569467,0.937531,1
0.966658,0.005303,1
0.826525,0.627306,1
0.799054,0.535197,1
0.376241,0.766674,0
0.423369,0.880304,0
0.233638,0.106571,0
0.566411,0.583086,1
0.456939,0.780623,0
0.516298,0.066461,1
0.674708,0.093125,1
0.512660,0.442360,1
0.328884,0.123181,0
0.221558,0.123590,0
0.722214,0.081444,1
0.886111,0.181775,1
0.377576,0.845144,0
0.615873,0.461550,1
0.791866,0.992607,1
0.806308,0.434790,1
0.398550,0.960205,0
0.864318,0.658560,1
0.440720,0.652721,0
0.256561,0.486593,0
0.500381,0.952335,1
0.394393,0.376492,0
0.629953,0.091959,1
0.022577,0.733485,0
0.388363,0.785424,0
0.588472,0.736432,1
0.596834,0.339993,1
0.534236,0.002938,1
0.298403,0.715964,0
0.576655,0.267790,1
0.230412,0.643621,0
0.817523,0.472578,1
0.100641,0.459547,0
0.962055,0.794238,1
0.095464,0.282337,0
0.013676,0.176395,0
0.342352,0.511969,0
0.560546,0.869756,1
0.499228,0.407660,0
0.172548,0.336450,0
0.249645,0.675717,0
0.487010,0.628073,0
0.245445,0.581977,0
0.277247,0.008364,0
0.957489,0.092619,1
0.170118,0.158776,0
0.970265,0.942694,1
0.707056,0.778875,1
0.487615,0.333441,0
0.127657,0.773375,0
0.204515,0.167476,0
0.595685,0.503728,1
0.243797,0.345212,0
0.584460,0.774605,1
0.556887,0.666348,1
0.791881,0.324204,1
0.044078,0.307054,0
0.264949,0.592236,0
0.662570,0.676454,1
0.379418,0.450542,0
0.959434,0.695306,1
0.942337,0.398694,1
0.791850,0.185239,1
0.963510,0.450566,1
0.478444,0.108714,0
0.576508,0.567744,1
0.263211,0.857842,0
0.180673,0.031761,0
0.767468,0.654477,1
0.122619,0.589549,0
0.055486,0.394493,0
0.139071,0.555117,0
0.045882,0.945926,0
0.342441,0.305356,0
0.263556,0.993665,0
0.746365,0.768994,1
0.345894,0.012613,0
0.200487,0.575117,0
0.292165,0.846798,0
0.132117,0.501304,0
0.176475,0.673602,0
0.676938,0.741302,1
0.932348,0.840353,1
0.621762,0.298291,1
0.860931,0.174733,1
0.079421,0.502207,0
0.715035,0.890982,1
0.969183,0.248174,1
0.567658,0.140645,1
0.185650,0.058021,0
0.186335,0.589596,0
0.804935,0.477965,1
0.303598,0.142341,0
